Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Segments,Product_ID,Product_Name,Category,Region,State,City,Quantity,Unit_Price,Discount,Sales_Amount,Cost_Price,Profit,Payment_Mode,Delivery_Status,Supplier_Name,Supplier_Email,Stock_Left,Auto_Reorder,Reorder_Quantity
ORD1019,21-01-2025,27-01-2025,CUST475,Matthew Gillespie,Home Office,PROD5696,Mouse,Electronics,North,Tennessee,Lisachester,3,1967,0,5901,3601.76,2299.24,Net Banking,Pending,"Harris, Ross and Hart",mccallsarah@duncan.org,16,No,0
ORD1020,06-04-2025,12-04-2025,CUST289,Robin Clark,Consumer,PROD1380,File Folder,Office Supplies,South,New Hampshire,West Jenniferfurt,1,4915,15,4177.75,3264.4,913.35,Credit Card,Cancelled,"Adams, Matthews and Grant",juliebutler@armstrong.org,44,No,0
ORD1021,13-01-2026,20-01-2026,CUST784,Laurie Lee,Home Office,PROD5224,Juice Pack,Grocery,East,Missouri,Connerville,10,2793,5,26533.5,20141.75,6391.75,Credit Card,Delivered,Davis LLC,deanralph@johnson.com,1,Yes,22
ORD1022,09-09-2024,16-09-2024,CUST703,Eric Gutierrez,Home Office,PROD8069,Pen,Office Supplies,West,Ohio,Grahamview,10,4544,15,38624,27103.77,11520.23,Net Banking,Delivered,Love-Johnson,robinsonthomas@smith.net,12,No,0
ORD1023,28-11-2025,04-12-2025,CUST771,John Hernandez,Home Office,PROD9625,Keyboard,Electronics,South,Arkansas,North Melissahaven,5,2498,10,11241,9184.73,2056.27,Cash,Pending,Greene PLC,jessica85@rogers.info,23,No,0
ORD1024,09-04-2024,14-04-2024,CUST721,Bryce Harris,Corporate,PROD6262,Office Chair,Furniture,North,Washington,West Laura,2,1264,10,2275.2,1785.95,489.25,UPI,Cancelled,Nguyen-Nelson,daniellemonroe@powell-schroeder.com,45,No,0
ORD1025,25-07-2024,26-07-2024,CUST830,Laura Diaz,Consumer,PROD9300,Study Table,Furniture,North,New Mexico,South Antonioside,10,3241,0,32410,26850.92,5559.08,Cash,Returned,Serrano and Sons,thomasjanet@day.com,43,No,0
ORD1026,04-03-2025,06-03-2025,CUST636,Sean Brown,Home Office,PROD1492,File Folder,Office Supplies,South,Wyoming,Jennahaven,3,1308,20,3139.2,2475.75,663.45,Net Banking,Cancelled,Dickson LLC,franklinemily@marshall-hogan.com,5,Yes,25
ORD1027,08-03-2025,14-03-2025,CUST906,Margaret Terry,Corporate,PROD5805,Cooking Oil,Grocery,North,Rhode Island,Michaelshire,6,3782,5,21557.4,18942.63,2614.77,Credit Card,Returned,Barrett Inc,wilsonlindsay@sullivan.com,43,No,0
ORD1028,09-03-2025,10-03-2025,CUST383,Rachel Jones,Home Office,PROD8888,Rice Bag,Grocery,East,North Carolina,South Rodney,3,3471,5,9892.35,6259.12,3633.23,Credit Card,Pending,Rodriguez PLC,richardsbrandon@flores.com,40,No,0
ORD1029,21-02-2024,22-02-2024,CUST557,Karen Woods,Consumer,PROD7218,Monitor,Electronics,East,Vermont,Davidchester,8,2229,15,15157.2,10801.27,4355.93,UPI,Cancelled,Wilson-Lee,daviddelacruz@evans-davila.net,31,No,0
ORD1030,29-01-2025,02-02-2025,CUST261,Tony Perez,Corporate,PROD7170,Laptop,Electronics,North,Idaho,Lake Joseph,9,4404,15,33690.6,21215.68,12474.92,Credit Card,Returned,"Floyd, Lynch and Harvey",thomaszachary@moon-davis.biz,10,No,0
ORD1031,10-08-2024,11-08-2024,CUST932,Shannon Tucker,Consumer,PROD7085,Mouse,Electronics,West,Maryland,East Joystad,2,742,10,1335.6,1158.18,177.42,Net Banking,Pending,Montoya Inc,ryan74@valentine.info,17,No,0
ORD1032,08-05-2024,10-05-2024,CUST825,Kelly Peck,Consumer,PROD6200,Monitor,Electronics,South,Nebraska,Millsfort,8,1842,15,12525.6,9386.44,3139.16,Cash,Pending,"Daniel, Kim and Pope",jwilson@singleton-may.com,39,No,0
ORD1033,09-10-2024,13-10-2024,CUST516,Aaron Sparks,Consumer,PROD3853,Keyboard,Electronics,West,Maryland,Sarahborough,8,4131,5,31395.6,25673.74,5721.86,UPI,Cancelled,"Gibbs, Woods and Gilbert",omartin@gonzales.com,9,Yes,27
ORD1034,26-06-2024,03-07-2024,CUST625,Eric Osborne,Consumer,PROD6828,Sugar,Grocery,West,Mississippi,North Stephaniestad,9,1216,10,9849.6,8439.7,1409.9,Net Banking,Returned,Villarreal-Moreno,brianlewis@gonzalez-carter.biz,41,No,0
ORD1035,28-03-2024,03-04-2024,CUST335,Kimberly Fitzgerald,Consumer,PROD9019,Bookshelf,Furniture,East,West Virginia,Williamsburgh,8,2123,20,13587.2,11044.84,2542.36,UPI,Cancelled,Lewis LLC,meganlane@butler.com,21,No,0
ORD1036,20-10-2024,22-10-2024,CUST510,Grace Smith,Consumer,PROD7575,Dining Table,Furniture,East,South Dakota,South Samantha,9,974,15,7451.1,6124.39,1326.71,Net Banking,Pending,Howard-Wall,anthony22@grant-ochoa.org,27,No,0
ORD1037,31-07-2025,05-08-2025,CUST702,Linda Zuniga,Consumer,PROD5311,Notebook,Office Supplies,East,Wisconsin,Lake Crystal,9,2344,15,17931.6,11440.51,6491.09,Net Banking,Returned,Barron-Hart,joshuakirk@hickman-gutierrez.biz,37,No,0
ORD1038,29-08-2025,03-09-2025,CUST294,Diana Robertson,Home Office,PROD9606,Pen,Office Supplies,North,North Carolina,South Autumn,1,2547,5,2419.65,2093.43,326.22,Net Banking,Returned,Rivera Group,ewells@clark.com,36,No,0
ORD1039,06-03-2025,13-03-2025,CUST857,Melissa Stein,Corporate,PROD7730,Monitor,Electronics,West,South Carolina,Thomaschester,7,2543,5,16910.95,14047.42,2863.53,Net Banking,Pending,Kline-Walker,hawkinskayla@sparks.com,43,No,0
ORD1040,21-05-2025,28-05-2025,CUST899,Dr. Jessica Logan,Consumer,PROD5709,Dining Table,Furniture,South,Virginia,East Katiemouth,7,1494,0,10458,8941.9,1516.1,UPI,Delivered,Moore-Phillips,pdavidson@stevens.org,7,Yes,44
ORD1041,03-05-2024,09-05-2024,CUST734,Taylor Campbell,Consumer,PROD7850,Laptop,Electronics,West,West Virginia,Larryville,2,1256,20,2009.6,1717.09,292.51,Cash,Cancelled,Wilson Group,johnlopez@warren.com,49,No,0
ORD1042,12-04-2025,16-04-2025,CUST752,Amber Graves,Consumer,PROD4504,Laptop,Electronics,North,Nevada,Diazstad,9,3219,20,23176.8,16299.76,6877.04,Net Banking,Pending,Smith-Vargas,brian18@jones.com,17,No,0
ORD1043,25-08-2025,27-08-2025,CUST365,Savannah Nguyen,Corporate,PROD3475,Laptop,Electronics,West,Tennessee,North Susan,8,533,10,3837.6,3156.97,680.63,Credit Card,Delivered,"Cole, Austin and Smith",frobertson@price.org,29,No,0
ORD1044,30-06-2024,04-07-2024,CUST650,Alexander Herrera,Home Office,PROD3626,Keyboard,Electronics,North,Missouri,South Gregoryton,4,3047,5,11578.6,7800.65,3777.95,UPI,Cancelled,Carter Inc,yatesbrian@nguyen.com,15,No,0
ORD1045,27-12-2024,29-12-2024,CUST522,Claire Davis,Consumer,PROD1282,Bookshelf,Furniture,South,Illinois,Nguyenhaven,2,2731,5,5188.9,4413.28,775.62,UPI,Cancelled,Cohen Inc,smithdavid@christensen.net,31,No,0
ORD1046,05-10-2025,12-10-2025,CUST894,Molly Alexander,Corporate,PROD4842,Office Chair,Furniture,East,Colorado,South Davidmouth,2,2351,5,4466.9,2715.31,1751.59,Cash,Delivered,Dunlap-Wade,kevinmartin@huffman.com,11,No,0
ORD1047,03-04-2025,07-04-2025,CUST690,Jennifer Jones,Corporate,PROD2792,Snacks,Grocery,East,Georgia,Reyesstad,8,591,5,4491.6,3929.23,562.37,Net Banking,Returned,Martinez-Martin,melanienewman@logan.com,24,No,0
ORD1048,08-10-2024,15-10-2024,CUST680,Victoria Watkins,Consumer,PROD1577,Sofa,Furniture,East,Nebraska,Maddoxfort,1,2800,5,2660,1935.62,724.38,Net Banking,Pending,Brown PLC,edwardsshawn@smith.com,20,No,0
ORD1049,24-11-2025,26-11-2025,CUST238,Sherry Gordon,Corporate,PROD6254,Snacks,Grocery,East,Illinois,New Sherrichester,8,335,15,2278,1948.5,329.5,Net Banking,Returned,Padilla LLC,yorkcarolyn@mitchell.com,23,No,0
ORD1050,24-01-2026,29-01-2026,CUST463,Kimberly White,Corporate,PROD2270,Stapler,Office Supplies,East,New Hampshire,Kathyville,2,2508,20,4012.8,3367.83,644.97,UPI,Delivered,Cox-Watts,jillstewart@johnson-copeland.biz,16,No,0
ORD1051,11-10-2025,18-10-2025,CUST141,Micheal Moody,Consumer,PROD9672,Dining Table,Furniture,West,Delaware,Carrolltown,7,4515,0,31605,28073.73,3531.27,Cash,Delivered,Garcia-Washington,brianward@lee.com,28,No,0
ORD1052,25-03-2024,01-04-2024,CUST738,David Mcgee,Consumer,PROD9562,Stapler,Office Supplies,North,Tennessee,Lake Matthew,3,1389,0,4167,3035.34,1131.66,Net Banking,Pending,Smith Ltd,michael47@zuniga.info,34,No,0
ORD1053,12-01-2026,17-01-2026,CUST951,Carla Reed MD,Home Office,PROD9553,Keyboard,Electronics,East,Mississippi,Lisaton,10,805,15,6842.5,4367.48,2475.02,UPI,Pending,Chapman-Williams,antoniocarroll@meyer.com,27,No,0
ORD1054,05-10-2024,07-10-2024,CUST183,Lisa Morales,Consumer,PROD2022,Dining Table,Furniture,North,New Hampshire,Lewisland,7,593,10,3735.9,3296.11,439.79,UPI,Cancelled,"Dunn, Deleon and Stephens",kgriffith@hicks.net,40,No,0
ORD1055,27-05-2024,30-05-2024,CUST838,Travis Hernandez,Consumer,PROD6816,Cooking Oil,Grocery,North,Washington,Johnsonport,10,2443,20,19544,11770.69,7773.31,UPI,Cancelled,Thomas-Lynn,griffinshirley@bean.com,44,No,0
ORD1056,25-06-2025,26-06-2025,CUST372,Autumn Garcia,Consumer,PROD5792,Stapler,Office Supplies,North,Massachusetts,Carlstad,7,2713,10,17091.9,11200.79,5891.11,UPI,Cancelled,Robinson LLC,jaime88@pierce-ortega.com,41,No,0
ORD1057,28-06-2024,29-06-2024,CUST170,Christopher Ross,Home Office,PROD9190,Office Chair,Furniture,West,Pennsylvania,Ritaburgh,9,3992,15,30538.8,27239.39,3299.41,Cash,Cancelled,Hernandez-Russell,kelliramirez@smith.com,17,No,0
ORD1058,12-01-2026,15-01-2026,CUST115,Bridget Harris,Consumer,PROD1013,Sugar,Grocery,South,Oklahoma,East Marissaview,5,150,5,712.5,585.62,126.88,Cash,Pending,Lawrence-Warren,hernandezchad@mora.info,22,No,0
ORD1059,01-02-2026,05-02-2026,CUST439,Brandon Hubbard,Home Office,PROD8502,Calculator,Office Supplies,North,Maine,Stewartmouth,5,1462,10,6579,4297.16,2281.84,Cash,Returned,Webster Group,hjohnson@reeves-russo.biz,49,No,0
ORD1060,25-01-2026,30-01-2026,CUST462,Kelly Jackson,Home Office,PROD4594,Stapler,Office Supplies,North,Oklahoma,East Tinaland,6,3143,5,17915.1,11282.7,6632.4,Net Banking,Cancelled,Mendez-Grant,jennifer36@hall.biz,12,No,0
ORD1061,19-12-2025,26-12-2025,CUST258,Dominique Miller,Consumer,PROD6763,Dining Table,Furniture,East,West Virginia,Kevinstad,8,4197,15,28539.6,21131.82,7407.78,Cash,Returned,Anderson and Sons,mccoyelijah@gibson-maynard.biz,47,No,0
ORD1062,11-10-2025,12-10-2025,CUST263,Catherine Carter,Corporate,PROD7541,Rice Bag,Grocery,South,Wyoming,Howellstad,6,2795,15,14254.5,12346.9,1907.6,Net Banking,Pending,"Miranda, White and Diaz",jkent@jackson-lopez.com,18,No,0
ORD1063,27-06-2025,04-07-2025,CUST612,Ruth Thompson,Corporate,PROD4896,Notebook,Office Supplies,West,New Jersey,South Jason,4,2048,5,7782.4,6653.39,1129.01,UPI,Cancelled,Sanchez LLC,chris94@terry-hood.org,26,No,0
ORD1064,05-10-2024,09-10-2024,CUST494,Kimberly Johnston,Corporate,PROD2009,Keyboard,Electronics,North,Kentucky,Douglashaven,6,3797,15,19364.7,12040.25,7324.45,Credit Card,Pending,"Duran, Barr and Brown",zwalls@davis.biz,41,No,0
ORD1065,29-06-2025,06-07-2025,CUST785,Brandy Mathews,Corporate,PROD6093,Sugar,Grocery,West,Delaware,South Vanessa,1,952,5,904.4,582.16,322.24,UPI,Pending,"Woodard, Scott and Brown",vmason@sanchez.com,33,No,0
ORD1066,11-02-2024,13-02-2024,CUST796,Danielle Thomas,Home Office,PROD5339,Sugar,Grocery,North,California,East Williamberg,3,3972,20,9532.8,6778.92,2753.88,Cash,Cancelled,Ware-Smith,scottraymond@hardy-orr.org,33,No,0
ORD1067,01-09-2024,02-09-2024,CUST704,Tara Smith,Consumer,PROD5498,File Folder,Office Supplies,West,Maine,South Wendy,4,4195,10,15102,11216.52,3885.48,Net Banking,Pending,"Weaver, Montgomery and Dunn",sophiaparker@pena.com,10,No,0
ORD1068,03-11-2025,08-11-2025,CUST158,William Willis,Corporate,PROD7698,Sugar,Grocery,West,New Mexico,Jonesville,4,1156,15,3930.4,2886.84,1043.56,UPI,Pending,"Brown, Jordan and Allen",mark74@green.com,16,No,0
ORD1069,20-09-2025,27-09-2025,CUST274,Sean Dodson,Corporate,PROD1685,Snacks,Grocery,North,Maine,Marksmouth,1,3581,10,3222.9,2529.56,693.34,Cash,Pending,Mahoney-Medina,amoore@bond-kelly.com,28,No,0
ORD1070,28-09-2025,03-10-2025,CUST989,Christina Ramirez,Home Office,PROD7552,Mouse,Electronics,West,Oregon,Aaronshire,8,1647,20,10540.8,7986.01,2554.79,UPI,Cancelled,"Proctor, Martinez and Jones",ujames@miranda.com,43,No,0
ORD1071,07-08-2024,14-08-2024,CUST105,Veronica Hogan,Corporate,PROD2282,Dining Table,Furniture,South,Maine,New Paul,4,1273,0,5092,3220.03,1871.97,Credit Card,Delivered,"Evans, Lawson and Harris",travis43@fletcher.org,1,Yes,21
ORD1072,10-05-2024,11-05-2024,CUST467,George Pennington,Corporate,PROD2151,Study Table,Furniture,West,Illinois,Wandafort,10,107,10,963,641.41,321.59,Credit Card,Pending,"Gilbert, Harvey and Walker",qbutler@sanders.com,27,No,0
ORD1073,09-11-2025,13-11-2025,CUST451,Michelle Garcia,Corporate,PROD4270,Monitor,Electronics,East,Indiana,Lake Ryanmouth,10,3607,15,30659.5,19650.37,11009.13,Net Banking,Returned,Castro-Smith,valeriemartin@jackson-berry.biz,13,No,0
ORD1074,15-06-2025,18-06-2025,CUST623,Ralph Rodgers,Home Office,PROD6952,Office Chair,Furniture,East,Wyoming,West Gary,3,910,0,2730,2323.08,406.92,Cash,Cancelled,"Moore, Fox and Long",michaelgriffin@barrett.com,47,No,0
ORD1075,18-07-2024,23-07-2024,CUST896,Krystal Palmer,Corporate,PROD2557,Notebook,Office Supplies,North,Louisiana,New Adam,10,371,0,3710,2584.24,1125.76,UPI,Pending,Sanchez-Jones,jeanette33@wilson.com,1,Yes,28
ORD1076,14-12-2024,20-12-2024,CUST859,Amanda Yates,Consumer,PROD4825,Stapler,Office Supplies,South,Arizona,New Jenniferport,1,3505,15,2979.25,2138.37,840.88,Credit Card,Delivered,Rivers-Mitchell,fharris@glover.com,17,No,0
ORD1077,23-05-2024,30-05-2024,CUST515,Joel West,Home Office,PROD5816,Rice Bag,Grocery,South,Pennsylvania,Erikamouth,6,4598,0,27588,20740.05,6847.95,Credit Card,Cancelled,Sullivan and Sons,bethany88@sanchez-holt.net,1,Yes,34
ORD1078,06-09-2024,11-09-2024,CUST595,Anna Williams,Home Office,PROD7669,Monitor,Electronics,North,Colorado,Stanleyshire,4,2528,5,9606.4,5819.95,3786.45,Net Banking,Delivered,"Walsh, Conner and Thomas",timothy21@wong-anderson.com,18,No,0
ORD1079,12-05-2025,19-05-2025,CUST668,Kenneth Brown,Consumer,PROD9188,File Folder,Office Supplies,North,Hawaii,Lake Amyburgh,2,1103,20,1764.8,1484.24,280.56,Credit Card,Cancelled,"George, Davenport and Flynn",xwiley@yang.biz,11,No,0
ORD1080,10-10-2025,12-10-2025,CUST707,James Butler,Home Office,PROD1734,Keyboard,Electronics,South,Missouri,Figueroaberg,2,3269,15,5557.3,3558.36,1998.94,Net Banking,Delivered,Martin-Diaz,erivas@morris.com,12,No,0
ORD1081,20-01-2025,27-01-2025,CUST333,Wendy Ray,Corporate,PROD2263,Cooking Oil,Grocery,West,California,Helenview,1,3710,15,3153.5,2258.15,895.35,Net Banking,Cancelled,Villanueva-Hansen,robertnorris@king.org,4,Yes,33
ORD1082,26-08-2025,31-08-2025,CUST459,Stephanie Clark,Corporate,PROD4736,Study Table,Furniture,North,Washington,Andreamouth,4,1722,20,5510.4,4245.09,1265.31,Cash,Cancelled,Garcia LLC,henryhinton@castillo.biz,46,No,0
ORD1083,02-01-2025,09-01-2025,CUST765,Christopher Jones,Consumer,PROD8755,File Folder,Office Supplies,East,Oklahoma,Bishopchester,8,1376,20,8806.4,5375.05,3431.35,UPI,Returned,Carlson Group,michaelgrant@levine.com,36,No,0
ORD1084,22-05-2024,28-05-2024,CUST232,Albert Rodriguez,Corporate,PROD5832,Calculator,Office Supplies,East,Michigan,Edwardsfurt,4,838,5,3184.4,2791.24,393.16,UPI,Cancelled,"Williams, Hernandez and Blevins",brendabright@benson.com,3,Yes,32
ORD1085,12-07-2024,18-07-2024,CUST264,Jeffery Jones,Corporate,PROD7000,Mouse,Electronics,South,Mississippi,North Robinfurt,5,1800,15,7650,5012.03,2637.97,Net Banking,Delivered,Miller-Mann,harriskathy@nelson.com,11,No,0
ORD1086,24-03-2025,26-03-2025,CUST589,Allison Smith,Corporate,PROD6006,Headphones,Electronics,South,Montana,North James,5,4991,5,23707.25,14356.98,9350.27,Credit Card,Pending,West Group,taylorbryan@peterson.biz,15,No,0
ORD1087,04-04-2024,08-04-2024,CUST256,Sarah Jones,Consumer,PROD2164,Office Chair,Furniture,North,Oregon,Lake Matthewshire,2,3471,15,5900.7,5247.91,652.79,Net Banking,Cancelled,Franklin-Manning,millercody@lloyd.com,6,Yes,48
ORD1088,09-05-2025,14-05-2025,CUST199,Misty Hunter,Home Office,PROD2812,Snacks,Grocery,East,South Dakota,Matthewside,2,974,0,1948,1354.19,593.81,UPI,Pending,Ward Group,laura58@wallace.net,15,No,0
ORD1089,22-08-2024,27-08-2024,CUST609,Jessica Johnson,Home Office,PROD3036,Headphones,Electronics,West,Oklahoma,Ramosport,2,2209,10,3976.2,3360.22,615.98,Credit Card,Pending,"Giles, Elliott and Howard",timothy01@wise-beltran.com,25,No,0
ORD1090,11-09-2025,13-09-2025,CUST274,Stephen Harrington MD,Corporate,PROD6019,Sofa,Furniture,South,Alaska,New Karen,3,1204,10,3250.8,2525.86,724.94,UPI,Delivered,Williams PLC,fostermaria@carlson-mason.com,35,No,0
ORD1091,16-03-2024,17-03-2024,CUST990,Christian Brown,Home Office,PROD1542,Juice Pack,Grocery,South,Minnesota,South Julieville,10,2536,15,21556,15489.93,6066.07,Credit Card,Cancelled,Abbott LLC,brownmark@jimenez-fisher.com,38,No,0
ORD1092,27-10-2025,02-11-2025,CUST568,Shelby Hill,Consumer,PROD7093,Notebook,Office Supplies,East,Tennessee,North Frankport,2,4155,15,7063.5,6075.75,987.75,Net Banking,Pending,Adams LLC,weaverjoshua@winters.com,19,No,0
ORD1093,25-06-2025,27-06-2025,CUST339,Carlos Ramirez,Home Office,PROD5221,Keyboard,Electronics,South,Arizona,Pamelafurt,4,1231,20,3939.2,3029.33,909.87,Cash,Returned,Oliver Ltd,princelarry@green-garcia.com,32,No,0
ORD1094,11-03-2025,18-03-2025,CUST801,Tim Rogers,Consumer,PROD3799,Keyboard,Electronics,South,Iowa,Lake Lisaton,9,2240,15,17136,13825.56,3310.44,Credit Card,Delivered,Heath-Morales,josephrichardson@brown-rich.com,35,No,0
ORD1095,04-05-2024,05-05-2024,CUST330,Brian Brooks,Home Office,PROD6140,Headphones,Electronics,South,Delaware,New Craig,3,809,15,2062.95,1595.31,467.64,UPI,Cancelled,"Delacruz, Mora and Morales",dkline@griffin.com,37,No,0
ORD1096,30-06-2025,04-07-2025,CUST613,David Patel,Corporate,PROD4087,Calculator,Office Supplies,East,Illinois,Cameronburgh,9,4809,15,36788.85,31496.58,5292.27,UPI,Pending,Terrell-King,johncruz@estrada-brock.com,2,Yes,39
ORD1097,14-11-2024,19-11-2024,CUST228,Marie Nelson,Home Office,PROD5291,Pen,Office Supplies,East,Connecticut,Lake Robinberg,3,2527,10,6822.9,4613.4,2209.5,UPI,Pending,"Keller, George and Aguilar",zdavis@campbell-peterson.com,47,No,0
ORD1098,07-11-2024,08-11-2024,CUST940,Zachary Williams,Home Office,PROD7194,Juice Pack,Grocery,North,Idaho,South Jamie,1,3621,10,3258.9,2812.74,446.16,UPI,Delivered,Watkins-Williams,xsilva@douglas.info,14,No,0
ORD1099,24-03-2025,25-03-2025,CUST263,Tonya Curry,Corporate,PROD4795,File Folder,Office Supplies,North,New York,Cervantesfort,6,244,5,1390.8,955.12,435.68,Net Banking,Cancelled,Collier Ltd,gomezsara@bailey.net,16,No,0
ORD1100,04-02-2025,09-02-2025,CUST933,Mr. Brandon Dennis DDS,Corporate,PROD3322,Study Table,Furniture,North,Delaware,South Sarah,3,2637,15,6724.35,4724.01,2000.34,UPI,Cancelled,Tanner Ltd,gallowaytrevor@pierce-hurley.org,6,Yes,36
ORD1101,18-04-2025,24-04-2025,CUST326,John Smith,Consumer,PROD5601,Dining Table,Furniture,South,Florida,South Emmaside,9,1592,0,14328,9841.81,4486.19,UPI,Cancelled,"Scott, Cunningham and Robinson",maddenbrandy@wheeler.com,20,No,0
ORD1102,17-08-2025,22-08-2025,CUST354,Justin Lee,Home Office,PROD3831,Dining Table,Furniture,West,Illinois,Andersonchester,2,4017,10,7230.6,6389.94,840.66,Credit Card,Pending,Singleton PLC,vincent79@brown-gallagher.com,44,No,0
ORD1103,13-10-2024,18-10-2024,CUST400,Joe Rogers,Corporate,PROD7730,Sofa,Furniture,South,Tennessee,Port Debramouth,4,1958,15,6657.2,4833.56,1823.64,Net Banking,Delivered,Moore-Hall,joseph83@robinson-carter.com,32,No,0
ORD1104,30-01-2025,05-02-2025,CUST551,Kevin Michael,Home Office,PROD5126,Stapler,Office Supplies,West,Connecticut,Martinezmouth,1,4941,0,4941,3360.77,1580.23,Credit Card,Pending,Gray PLC,jbell@morgan.net,42,No,0
